model,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
Logistic Regression,0.76,0.3888888888888889,0.35,0.3684210526315789,0.7150000000000001,69,11,13,7
Decision Tree,0.63,0.18518518518518517,0.25,0.2127659574468085,0.4875,58,22,15,5
